,cian_id,link,title,attributes,area,metro,remoteness,walk,address,price_full,price_per_meter,currency,description
0,233719393,https://www.cian.ru/sale/flat/233719393/,"Москва,  два с/у, Кухня 14м2.","2-комн. кв., 60 м², 14/17 этаж",60,Некрасовка,5 минут на транспорте,,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к1",6650000,110833,₽,"Квартира в Москве, прописка Московская , новый дом , планировка распашная ( на разный стороны дома), большая кухня 14 м2 , два сан/узла. Собственность оформлена, свободна юридически и ф... Подробнее"
1,234436215,https://www.cian.ru/sale/flat/234436215/,Большой выбор. Низкие цены.,"2-комн. кв., 57 м², 6/17 этаж",57,Некрасовка,15 минут пешком,True,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к4",6490000,113860,₽,"2-к.кв. 57 м2, г.Москва, Некрасовка, ул. Маршала Еременко, д.5, корп.4.  Московская прописка. Новый дом с высокой энергоэффективностью, просторный подъезд. Этаж 6 из 17. Общая площадь с... Подробнее"
2,233867070,https://www.cian.ru/sale/flat/233867070/,"2-комн. кв., 60 м², 5/14 этаж","2-комн. кв., 60 м², 5/14 этаж",60,Некрасовка,5 минут на транспорте,,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к3",6550000,109167,₽,"2-к.кв. 60 м2, г.Москва, Некрасовка, ул. Маршала Еременко, д.5, корп.3, Новый дом с высокой энергоэффективностью, просторный подъезд. Этаж 5 из 14. Общая площадь с лоджией 60м2, без лод... Подробнее"
3,234630431,https://www.cian.ru/sale/flat/234630431/,Распашная с лоджией. Ключи сразу.,"2-комн. кв., 58,3 м², 7/17 этаж",58,Некрасовка,5 минут на транспорте,,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к4",6447000,110583,₽,"2х-комнатная квартира в Москве с ремонтом в новом доме. Распашонка, окна на 2 стороны. Лоджия из кухни. Можно сразу заезжать жить.  Прописка Москва.  Свободная продажа. Не аукцион, напр... Подробнее"
4,234326212,https://www.cian.ru/sale/flat/234326212/,Распашная со светлой кухней 13м,"2-комн. кв., 58,1 м², 4/17 этаж",58,Некрасовка,20 минут пешком,True,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к4",6750000,116179,₽,"Оптимальная по планировке распашная двушка в красивом новом доме: просторная кухня 13м с большим окном и хорошим светом, расположение по середине дома (не торцевая), комнаты по 17м на о... Подробнее"
5,227366661,https://www.cian.ru/sale/flat/227366661/,Новостройка с ключами,"2-комн. кв., 52 м², 4/17 этаж",52,Некрасовка,10 минут пешком,True,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Лавриненко, 13к1",6600000,126923,₽,"Продаю 2-х комн. квартиру в сданном доме в г. Москва, ЮВАО, р-н Некрасовка, ул. Лавриненко, Дом 13к1. На 4/17эт.,П-44Т. Общая площадь 52кв.м, кухня 10 кв.м, комнаты изолированные 19 и 1... Подробнее"
6,235442700,https://www.cian.ru/sale/flat/235442700/,Цена ниже рынка! Эксклюзив,"2-комн. кв., 50 м², 15/23 этаж",50,Рассказовка,,,"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, улица Корнея Чуковского, 2Ас1",6700000,134000,₽,"Продается квартиру в 2 минутах от метро Рассказовка, квартира свободной планировки, несущие стены только по периметру. Планировка евродвушка с кухней-гостиной и изолированной спальней и... Подробнее"
7,235366716,https://www.cian.ru/sale/flat/235366716/,"2-комн. кв., 50,4 м², 2/14 этаж","2-комн. кв., 50,4 м², 2/14 этаж",50,,4 минуты на транспорте,,"Москва, ЗелАО, р-н Крюково, Зеленоград, мкр. 14-й, к1420",6299000,124980,₽,"Свободная продажа. Первичные документы-приватизация 1993 г. Никто не прописан. Два взрослых собственника. Дом 1990 года, серия П-46. Отличный вариант для жизни или сдачи в аренду. Удобн... Подробнее"
8,224003439,https://www.cian.ru/sale/flat/224003439/,м.Павелецкая/Пражская 15/20 мин,"2-комн. кв., 43 м², 6/12 этаж",43,Пражская,10 минут на транспорте,,"Москва, ЮАО, р-н Бирюлево Западное, м. Пражская, Булатниковский проезд, 6к1",6490000,150930,₽,"Читайте внимательно описание ПОЖАЛУЙСТА!!!  Квартира с лоджией,  очень уютная, комнаты изолированы, вид  на сквер, летом приятная свежесть и нет дорог (выхлопа) и шоссе под окнами, экол... Подробнее"
9,234309277,https://www.cian.ru/sale/flat/234309277/,Московская прописка. Свободная.,"2-комн. кв., 53,9 м², 13/14 этаж",53,Лухмановская,20 минут пешком,True,"Москва, ЮВАО, р-н Некрасовка, м. Лухмановская, улица Маршала Еременко, 5к5",6400000,118738,₽,"Продается 2 ком.кв. , в новом Жилом комплексе В Некрасовке-2. (к5 кв144). В 15 минутах от метро-Некрасовка. Квартира на 6 этаже, хорошие видовые характеристики, светлая и уютная. С хоро... Подробнее"
10,234308113,https://www.cian.ru/sale/flat/234308113/,2 ком. кв. с большой кухней,"2-комн. кв., 58,8 м², 10/14 этаж",58,Некрасовка,15 минут пешком,True,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к1",6850000,116497,₽,"Продается 2 ком.кв. , в новом Жилом комплексе В Некрасовке-2. (к1 кв408). В 15 минутах от метро-Некрасовка. Квартира на 6 этаже, хорошие видовые характеристики, светлая и уютная. С хоро... Подробнее"
11,232547282,https://www.cian.ru/sale/flat/232547282/,Уникальное предложение!,"2-комн. апарт., 40 м², 10/16 этаж",40,Владыкино,2 минуты пешком,True,"Москва, СВАО, р-н Отрадное, м. Владыкино, Алтуфьевское шоссе, 2",5300000,132500,₽,"Арт. 27520465 Апартаменты! Без прописки! Предлагаются к продаже 2-х комнатные апартаменты в  гостинице ""Восход"", это уникальная возможность приобрести помещение с гостиничным сервисом д... Подробнее"
12,232123323,https://www.cian.ru/sale/flat/232123323/,"2-комн. кв., 47 м², 6/9 этаж","2-комн. кв., 47 м², 6/9 этаж",47,Ховрино,35 минут на транспорте,,"Москва, ЗелАО, р-н Старое Крюково, м. Ховрино, Зеленоград, мкр. 8-й, к813",6300000,134043,₽,"Агентство ""Планета Недвижимости"" гарантирует своим клиентам безопасность сделки. Покупатель получает сертификат о финансовой гарантии в размере полной стоимости квартиры. Помогаем в одо... Подробнее"
